id,point_code,chinese_pinyin,english_name,chinese_characters,etymology,description,location,needling,functions,secondary_functions,cautions,notes,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew,search_keywords_hebrew,created_at
105,Bl1,JING MING,Bright Eyes,睛明,"“Ming” is a reference to the eyes which are the microcosmic representation of “Ri” sun and “Yue” moon. The sun and moon are called “He” - the 2 eyes of heaven and earth. When the 5 yin organs are blossoming the eyes will be bright like the sun and the moon.
","Jing – eyes Ming – bright ","1 fen from the medial corner of the eye ","Perpendicular, the patient should have his eyes closed, gently push the eye ball to the side, slowly insert the needle causing minimum shock to the patient, between the orbit and nose, 0.5 a cun deep ","1. Concentration point of Tai Yang
2. Meeting of TH GB GV ST SI
3. Expels local heat and local wind
4. Clears blockages in the meridian
5. On the Yin and Yang Qiao Mai  (supports circulation of yin and yang)
6. Meeting of the heart divergent
7. Upper meeting point of the divergent of ST SP HT SI
8. Point of change between yin and yang. If there is yin in the eyes they will be closed if
there is yang they will be open.
","1. Treats dry skin on all parts of the body
2. Treats pain and inflammation of the eyes, fluids in the eyes from wind cold, limited
night vision
3. Treats pain and itching of the eyes
4. Moves and disperses fluids and yin/yang CHI through out the body via its meeting
with the Yin and Yang Qiao
Nei Ching
Nei Ching – 17: “At this point the yin and yang change polarities”.
Nei Ching – 21: “At this point the Yin and Yang Qiao separate. The yang enters the yang
and the yin enters the yin”.
If the yang is full at BL1 the eyes will always be open
If there is excess and fullness of the yin in BL1 the eyes will always be closed
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
114,Bl10,TIAN ZHU,Celestial Pillar,天柱,,"Tian – celestial Zhu – pillar The 2 heads of the trapezius muscle are like two pillars supporting the head (heaven). BL10 is located on these pillars. Pillars are also a reference to the spinal vertebra in ancient times they were called “Tian Zhu” ","1.3 cun lateral to GV15, on the lateral sides of the trapezius, levels with the L.B.S.P. (lower border spinal process) of C-1 ","Perpendicular 0.5-1 cun ","1. Window of heaven point (tonifies Shu points)
2. Meeting of Bl/KID divergent
3. Strengthens the lower back
4. Disperses wind attacking the upper body
5. Sea of energy - refills bodies energy
7. Promotes formation of blood (by way of its connection to bone marrow/hemoglobin
and KID)
8. Balances between all 3 heaters by lowering heavenly QI via the SHU points
9. Builds yang and by doing so builds yin
10.Calms and balances the SHEN and Hun
11.Opens blockages in the meridian
12. Benefits vision
Nei Ching
Nei Ching – 33: “part of the group of points that regulate CHI in general along with CV17 and ST9”.
Nei Ching – 26: “For migraines that develop from a blockage of CHI which become neck pain and and travel down the spine to KID, needle BL10 then balance the CHI in the BL meridian”.
Nei Ching – 28: “An important point for crying and snot.” According to the Nei Ching “the heart is the master of the ZANG and FU organs at the eyes there is a connecting point of the ancestral meridians and of the Yin and Yang Qiao. The organic fluids rise up via this pathway. The mouth and nose represent the opening of CHI”.
Nei Ching – 34: “In diseases of the head caused by disruption of the flow of Wei and Ying CHI (Ying CHI in the more yang areas becomes yin while Wei CHI in the more yin areas becomes yang) needle BL10 and BL11. If there is no progress needle the Ying - spring and Shu – Stream points of the BL (BL65 and BL66)”
When the patient is suffering from sadness and nervousness the heart is in a problematic state. This leads to the Zang Fu’s functions becoming compromised consequentially the Yin/Yang Chiao 's function will deteriorate in this case needle BL10
If there are not enough tears needle BL10. In order to understand the effect of the treatment one must understand how CHI circulates in the body
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
115,Bl11,DA SHU,Great Shuttle,大杼,,"DA – big, great SHU – ferry, shuttle In ancient China the spinal vertebrae were called Zhu Gu“big hurdle bones”. The points name comes from the fact that the space between C7 and T1 is comparably large. ","1.5 cun lateral to the L.B.S.P. of T1 ","Diagonal in the direction of the spine  0.3-0.5 cun ","1. Hui – meeting point of the bones
2. Sea of blood
3. Receives a branch from GV, SI, TW and GB
4. Meeting with Small Intestine
5. Expels wind attacking the upper portion of the body
6. Disperses excess yang throughout the entire body
","Nourishes blood
Strengthens the bones
Strengthens the spine
With BL12, BL13 and BL15 for promoting relaxation in women who cannot cope
with problems
Nei Ching
Nei Ching – 75: “When the yang is full and the yin is empty at the same time, the pores will close and sweat will cease. The teeth, tongue and throat will dry up and there will be no appetite. In this situation needle BL11, TH16 and BL29. These points disperse heat and lower the body temperature. Tonify the Tai Yin meridians in order to form sweat. According the Nei Ching this is the 4th treatment it is known as “taking off the clothes”.
Nei Ching – 51: “Specifically for dispersing excess yang”
Su Wen – 32: “This point is part of a group of points that disperse yang CHI from the organs”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
116,Bl12,FENG MEN,Wind Door,風門,,"Feng – wind Men – door, gate External pathogens enter the body via this point. It is used to treat external wind attack ","1.5 cun lateral to L.B.S.P. of T2 (across from SI13) ","Perpendicular 0.5-1 cun ","1. Association of bones and tendons
2. Strengthens immune system
3. Meeting with the GV
4. Shu of the bones and tendons
5.Supports the lung’s function of dispersing energy
6. Expels external wind
","1. Regulates Ying and Wei CHI
2. Treats cough, stuffy nose, hot sensation, heavy head and allergies
3. Treats nutritional deficiencies in children
4. Used with LU1+ST12+ST27 to disperse hot pathogens in the chest
Su Wen  “One of the 4 points for dispersing heat attacking the chest. The other points are LU1, ST12 and ST27. It is said that when the pores are not completely closed, hot wind will penetrate the body by way of BL12 causing the excretion of body fluids. In this instance the wind gate (BL12) must be strengthened in order to prevent excess wind penetrating the body”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
117,Bl13,FEI SHU,Lung Shu,肺俞,"Fei- lung
Shu- shu point
","The Urinary Bladder meridian hosts the Shu points of the 12 organs. The points are used both for diagnostic and treatment purposes. They are generally located at the area/height of the organs that they represent. Since the lungs are the organs with the highest location, they are represented first ","1.5 cun lateral to the L.B.S.P. of T3 (across from the Spinatus bone) ","Perpendicular 0.5-1 cun ","1. Shu of the lungs
2. Promotes the downward flow of Lu Chi
3. Disperses external and internal pathogens attacking the lungs
4. Tonifies lung CHI
","1. Good for all lung pathologies from deficiency or stagnation of energy in the lung
Nei Ching
“When there is a CHI disturbance, abdominal swelling, intestinal noise, swelling of the chest, difficulty breathing, needle LU1,2”
Su Wen 32; “one of the points in the group responsible for dispersing Yang Chi in the 5 Zang organs. The other points are BL11, 15,17,18,20,23
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
118,Bl14,JUE YIN SHU,厥陰俞,,,,"1.5 cun lateral to the L.B.S.P.  of T-4 ","Perpendicular 0.5-1 cun ","1. Shu of PC
2. Regulates the heart
3. Calms the SHEN
","1. Calms in states of fear and nervousness
2. Treats lack of sleep from frightening dreams
3. Calms the body
4. Calms the mind
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
119,Bl15,XIN SHU,Heart Shu,心俞,,"Xin – heart Shu – association The shu point of heart located near the heart organ ","1.5 cun lateral to the L.B.S.P. P of T5 ","Perpendicular 0.5-1cun ","1. Shu of Heart
2. Calms the SHEN
3. Strengthens thinking and concentration abilities
4. Calms the body on all levels
5. Clears blockages of blood and CHI in the heart
6.  The point of maturity
7.  Calms the soul
","Treats chest pains
Treats a “stuck” sensation in the chest
Treats acute/chronic fear
Balances the 5 spiritual aspects, treats sleep problems, madness and forgetfulness
Nei Ching
Su Wen – 52: “There is no point more important than BL15”
Needling too deep can damage the heart. The patient will die within 24 hours
To balance the heart one can use the Shu – Mu technique that is CV14 + BL15
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
120,Bl16,DU MAI SHU,GV Shu,督俞,,"Du – to rule, GV Shu – association ","1.5 cun lateral to the L.B.S.P. Of T6 ","Perpendicular 0.5-1 cun ","1. Shu of the GV
2. Supports the flow of yang through the spine
3. Tonifies the yang in general
4. Supports the dispersal and flow of yang (and yin)
5. Supports all the energetic functions of the Zang and Fu organs
6. Raises yin and fluids to the head
7. Raises CHI to the head
","Straightens a bent back
Strengthens the spine
Treats dizziness and headache from excess or deficiency
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
121,Bl17,SHU GE SHU,Diaphragm and Esophagus Shu,膈俞,,"Ge – diaphragm Shu – association ","1.5 cun lateral to the L.B.S.P. Of T7 (level with the lower tip of the scapula) ",,"1. Shu of the diaphragm and esophagus
2. Hui - meeting point of the blood
3. Moves blood, disperses stagnated blood throughout the body
4. Opens the passage for CHI (also blood and body fluids) between the upper
and middle  heaters
5. Tonifies in states of blood xu
6. Purifies and cleans the chest
7. Moves stagnated CHI in the chest
8. Releases contractions of the esophagus
","1. Treats spastic cough
2. Treats chest pain
3. Treats vomiting accompanied by contractions of the stomach and esophagus
4. Treats bleeding from blood stagnation
Nei Ching
Nei Ching: “On top is BL15 which is next to blood (heart). Below is BL17 which preserves the blood, therefore BL17 is the point of blood's passage”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
122,Bl18,GAN SHU,Liver Shu,肝俞,,"Gan – liver Shu – association ","1.5 cun lateral to the L.B.S.P. Of T9 ","Perpendicular 0.5-1 cun ","1. Shu of liver
2. Clears phlegm and heat from LIV
3. Clears stagnation in the LIV
4. Disperses yang CHI of the 5 zang organs
","Influences ST yang, increases acidity in ST
Treats globus hystericus causing difficulty swallowing
Treats cough causing pain on the sides of the body from stagnation of LIV CHI
With BL19, 20, 21 for men who can not cope with day to day issues
Nei Ching
Su Wen – 52: “If this point is needled too strongly it can damage the liver. The patient will die within 5 days with signs of yawning”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
