מספר שורה,קטגוריה,קטגוריה (אנגלית),מזהה שאלה,שאלה בעברית,שאלה באנגלית
1,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","pale_swollen_tongue","מה המשמעות הקלינית של לשון חיוורת ונפוחה עם סימני שיניים?","What is the clinical significance of a pale, swollen tongue with teeth marks?"
2,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","yellow_thick_coating","על מה מעיד חיפוי לשון צהוב ועבה במחמם האמצעי?","What does a thick yellow tongue coating in the Middle Jiao indicate?"
3,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","wiry_pulse","כיצד מתואר דופק ""מיתרי"" (Wiry) ומה הוא מסמל?","How is a ""Wiry"" pulse described and what does it signify?"
4,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","purple_vs_crimson","מה ההבדל באבחנה בין לשון סגולה (Purple) לבין לשון אדומה כהה (Crimson)?","What is the diagnostic difference between a Purple tongue and a Crimson tongue?"
5,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","central_crack","מהי המשמעות של חריץ מרכזי המגיע עד קצה הלשון?","What is the significance of a central crack extending to the tip of the tongue?"
6,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","slippery_pulse_phlegm","כיצד נזהה דופק ""מתגלגל"" (Slippery) ומה הקשר שלו לליחה?","How do we identify a ""Slippery"" pulse and what is its connection to phlegm?"
7,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","red_tip_points","מה מעיד קצה לשון אדום מאוד עם נקודות אדומות (Red Points)?","What does a very red tongue tip with red points indicate?"
8,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","floating_vs_deep","מהי האינדיקציה של דופק ""צף"" (Floating) לעומת דופק ""שוקע"" (Deep)?","What is the indication of a ""Floating"" pulse versus a ""Deep"" pulse?"
9,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","peeled_coating","מה מסמל חיפוי לשון ""מקורף"" (Peeled) או גאוגרפי?","What does a ""Peeled"" or geographic tongue coating signify?"
10,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","yin_def_tongue","כיצד מתבטא חוסר יין (Yin Def) במראה הלשון?","How does Yin Deficiency manifest in the tongue appearance?"
